product_upc,item_number,item_description,case_upc,case_pack,department,supplier
000000000005100001261,10822981,Jovial Laughing Brattain,,48.0,1,Campbells Soup Co
000000000008000000672,10510746,Flamboyant Practical Curran,,48.0,1,Starkist Co
000000000008660000020,10515021,Friendly Objective Bartik,,48.0,1,Bumble Bee Seafoods Llc
000000000004119006847,10210346,Reverent Wonderful Goldstine,,10.0,1,United Sugars Corp #01Ucs#
000000000001600012254,10103971,Dazzling Naughty Davinci,,12.0,1,General Mills ###Ucs###
000000000004119008105,10220039,Epic Silly Montalcini,,12.0,1,Bay Valley Foods
000000000004119006773,11384562,Elegant Hardcore Raman,,12.0,1,Cott Beverages Usa###Ucs###
000000000004119006765,11384148,Agitated Zen Kirch,,12.0,1,Cott Beverages Usa###Ucs###
000000000004119006582,11370089,Cranky Nervous Swartz,,6.0,1,Crossroads Beverage Corp
000000000004119006769,11384075,Naughty Nifty Ramanujan,,12.0,1,Cott Beverages Usa###Ucs###
000000000004119006762,11384059,Cocky Pedantic Swirles,,12.0,1,Cott Beverages Usa###Ucs###
000000000004119006767,11384130,Nervous Vigorous Kilby,,12.0,1,Cott Beverages Usa###Ucs###
000000000002400032200,10830196,Naughty Peaceful Wescoff,,24.0,1,Del Monte Usa -Consumer
000000000007764481615,10664016,Festive Upbeat Mcclintock,,12.0,1,Lidestri Foods Inc
000000000005100022463,10830764,Angry Keen Babbage,,12.0,1,Campbells Soup Co
000000000004119691084,10823775,Hopeful Zealous Northcutt,,12.0,1,General Mills ###Ucs###
000000000001600010610,10173667,Admiring Affectionate Lichterman,1600012610,8.0,1,General Mills ###Ucs###
000000000001600020711,10160059,Angry Pensive Swirles,,12.0,1,General Mills ###Ucs###
000000000007294075812,10720074,Loving Quirky Lamport,,12.0,1,Red Gold Inc
000000000004119008515,11290082,Keen Peaceful Hodgkin,,36.0,1,Irving Tissue Inc #01Ucs###
000000000064420930749,10161660,Adoring Hungry Jepsen,,12.0,1,Conagra Grocery Products Co
000000000005100001541,10824624,Elated Peaceful Hopper,5100024613,12.0,1,Campbells Soup Co
000000000004119613308,10820079,Compassionate Festive Noyce,,12.0,1,General Mills ###Ucs###
000000000003915311046,10652475,Amazing Wizardly Fermat,,20.0,1,Colavita Usa ##01Ucs##
000000000031254778135,10652475,Amazing Wizardly Fermat,,20.0,Colavita Usa ##01Ucs##
000000000002700044212,10420276,Sharp Vigilant Tereshkova,,24.0,1,Conagra Grocery Products Co
000000000005100019880,10830421,Adoring Compassionate Euler,,8.0,1,Campbells Soup Co
000000000003620021922,10661903,Epic Practical Cori,3620043057,6.0,1,Mizkan America Medina Whse
000000000005100021449,10830675,Dreamy Mystifying Elion,,12.0,1,Campbells Soup Co
000000000004150153724,10410029,Relaxed Wonderful Haibt,,12.0,1,B & G Foods Inc   ##01Ucs##
000000000001600017384,10243161,Fervent Relaxed Chaplygin,,3.0,1,General Mills ###Ucs###
000000000001030054325,10061658,Eloquent Modest Mestorf,,12.0,1,Flagstone Foods, Llc.
000000000007572000082,11372395,Hopeful Practical Hamilton,,4.0,1,Bluetriton Brands Inc
000000000003040079498,11290247,Condescending Flamboyant Knuth,3040079499,6.0,1,Fort James Corp   ##01Ucs##
000000000002780006356,10180017,Objective Practical Shirley,,12.0,1,Ferrero Usa Inc      #01Ucs###
000000000001480031816,10110334,Objective Romantic Fermat,,4.0,1,Dr Pepper Snapple Group
000000000004119008938,10040256,Ecstatic Reverent Poitras,,12.0,1,Basic Foods Inc #01Ucs###
000000000005000042994,11243944,Peaceful Tender Borg,,24.0,1,Nestle/Purina
000000000004223830005,10015526,Condescending Zen Minsky,4223830004,10.0,1,Haribo #01Ucs###
000000000004119674074,10825133,Keen Silly Archimedes,,12.0,1,General Mills ###Ucs###
000000000061300871781,10130473,Agitated Goofy Chebyshev,61300871780,4.0,1,Arizona Beverages ##01Ucs##
000000000002700038143,10570445,Compassionate Keen Wright,,12.0,1,Conagra Grocery Products Co
000000000004157006837,10113235,Modest Optimistic Poitras,4157007162,12.0,1,Blue Diamond Growers
000000000004150880310,11382586,Epic Kind Swartz,,24.0,1,Nestle Usa Inc
000000000003120020157,10122145,Cranky Romantic Ptolemy,,8.0,1,Ocean Spray  #X12
000000000004119008375,11370090,Inspiring Vigilant Shaw,4119009238,6.0,1,Crossroads Beverage Corp
000000000073052151754,11253410,Jolly Sad Goldberg,73052192632,12.0,1,Smuckers #Ucs
000000000004119006820,10170164,Blissful Hopeful Curran,,8.0,1,Ardent Mills Llc
000000000004119006585,11372353,Agitated Practical Euler,,1.0,1,Niagara Bottling
000000000004030003323,10174354,Cocky Keen Aryabhata,4030003333,8.0,1,Uhlmann Milling   #01Ucs###
000000000005100012327,10820785,Dreamy Hungry Hopper,5100015257,12.0,1,Campbells Soup Co
000000000002850010245,10183256,Friendly Nervous Murdock,,8.0,1,Knouse Foods ##01Ucs##
000000000004119210053,10100189,Awesome Serene Kilby,4119210052,12.0,1,Wk Kellogg Sales Llc
000000000003890002900,10787199,Gracious Silly Pare,,6.0,1,Dole Processed Foods #X12#
000000000088491211650,10101717,Condescending Naughty Khorana,88491200236,12.0,1,Post Foods Llc
000000000003600055699,11290158,Fervent Hopeful Keldysh,,6.0,1,Kimberly Clark 2Hr Unld. #Ucs#
000000000003010011176,10031629,Confident Objective Elion,3010011175,12.0,1,Kellogg Sales Co       Ucs
000000000003000016912,10242050,Amazing Stupefied Jackson,,12.0,1,Quaker Oats     #Ucs
000000000004119006826,10170067,Blissful Gracious Swirles,,8.0,1,Ardent Mills Llc
000000000003077212073,11150143,Eager Heuristic Lewin,,4.0,1,P&G-2Hr Unld   #Ucs
000000000004119005584,10123727,Angry Gifted Fermat,,8.0,1,Clement Pappas #01Ucs###
000000000004119008831,10100207,Clever Dazzling Meninsky,,14.0,1,Post Foods Llc
000000000007092047909,10300013,Jovial Keen Brown,,8.0,1,Conagra Grocery Products Co
000000000002970000114,10706410,Elastic Zen Borg,,12.0,1,Idaho Fresh Pak #01Ucs###
000000000003120002822,10123345,Kind Lucid Brahmagupta,3120022822,8.0,1,Ocean Spray  #X12
000000000005964274131,11640097,Affectionate Gifted Banach,5964274543,24.0,1,Charms  #Ucs
000000000004157005278,10035160,Relaxed Vigilant Mendeleev,,12.0,1,Blue Diamond Growers
000000000007185902811,11264013,Angry Kind Bhaskara,71859028119,6.0,1,Kay Tee Products  #01Ucs###
000000000004119007998,10230051,Hardcore Stoic Pare,,12.0,1,Prana Imports Inc
000000000004650072373,11010278,Epic Stupefied Hoover,4650002667,6.0,1,Sc Johnson #01Ucs###
000000000004920005175,10210134,Ecstatic Musing Elion,,12.0,1,American Sugar Refining Inc
000000000005100022065,10442668,Jolly Sleepy Golick,,6.0,1,Campbells Soup Co
000000000007252106010,11381417,Cocky Laughing Volhard,6150026010,2.0,1,Cott Beverages Usa###Ucs###
000000000003700099035,11020016,Friendly Lucid Lalande,,3.0,1,P&G-2Hr Unld   #Ucs
000000000003770034080,11300042,Elegant Kind Chaplygin,,6.0,1,Huhtamaki Foodservice##01Ucs##
000000000004119007255,10061755,Hardcore Naughty Kalam,,12.0,1,Flagstone Foods, Llc.
000000000004119007231,10790697,Eager Stoic Curran,,24.0,1,Sun-Maid Growers Of Ca #01Ucs#
000000000004000053372,11644881,Blissful Competent Goodall,4000053412,24.0,1,Mars Snackfood Us Llc
000000000004119007436,10741907,Affectionate Suspicious Mirzakhani,,12.0,1,Prana Imports Inc
000000000001114110029,10273564,Mystifying Suspicious Knuth,1114110027,6.0,1,Eight O'Clock Coffee
000000000003077206162,11110046,Cranky Festive Feynman,,6.0,1,P&G-2Hr Unld   #Ucs
000000000002106500040,10380001,Distracted Pensive Einstein,,6.0,1,Master Sales Company
000000000001600020039,10240119,Infallible Xenodochial Swartz,,8.0,1,General Mills ###Ucs###
000000000004000059967,10240119,Infallible Xenodochial Swartz,,8.0,General Mills ###Ucs###
000000000004119008548,10180032,Angry Silly Kapitsa,,12.0,1,Seneca Foods #01Ucs###
000000000001330060685,10180060,Confident Heuristic Bohr,,,None,
000000000004144940252,10160397,Brave Zealous Boyd,,12.0,1,Continental Mills,Inc ##Ucs##
000000000004144930013,10160703,Elegant Loving Khorana,,12.0,1,Continental Mills,Inc ##Ucs##
000000000085005269909,10040303,Condescending Upbeat Chebyshev,85005269910,12.0,1,Jacksons Food Co
000000000085657900292,11380099,Peaceful Thirsty Feynman,,3.0,1,Spindrift
000000000007478026033,11380165,Jovial Thirsty Bhaskara,,1.0,1,Nestle Usa Inc
000000000004200035503,11290224,Compassionate Confident Fermi,4200035508,8.0,1,Fort James Corp   ##01Ucs##
